STATE,STATE_NM,TOT_AIRPORTS,STATE_LAND_AREA_SQMi,AIRPT_AREA
AK,Alaska,19,50645,0.00040
AL,Alabama,3,570641,0.00000
AR,Arkansas,4,113594,0.00000
AZ,Arizona,4,52035,0.00010
CA,California,22,155779,0.00010
CO,Colorado,10,103642,0.00010
CT,Connecticut,1,4842,0.00020
DC,District of Columbia,0,1949,0.00000
DE,Delaware,1,61,0.01640
FL,Florida,17,53625,0.00030
GA,Georgia,7,57513,0.00010
HI,Hawaii,5,6423,0.00080
IA,Iowa,5,82643,0.00010
ID,Idaho,6,55519,0.00010
IL,Illinois,7,35826,0.00020
IN,Indiana,4,55857,0.00010
KS,Kansas,4,81759,0.00000
KY,Kentucky,4,39486,0.00010
LA,Louisiana,7,43204,0.00020
MA,Massachusetts,5,30843,0.00020
MD,Maryland,1,9707,0.00010
ME,Maine,2,7800,0.00030
MI,Michigan,15,56539,0.00030
MN,Minnesota,8,79627,0.00010
MO,Missouri,5,46923,0.00010
MS,Mississippi,5,68742,0.00010
MT,Montana,8,145546,0.00010
NC,North Carolina,8,76824,0.00010
ND,North Dakota,8,109781,0.00010
NE,Nebraska,3,8953,0.00030
NH,New Hampshire,1,7354,0.00010
NJ,New Jersey,3,121298,0.00000
NM,New Mexico,4,47126,0.00010
NV,Nevada,3,48618,0.00010
NY,New York,14,69001,0.00020
OH,Ohio,5,40861,0.00010
OK,Oklahoma,3,68595,0.00000
OR,Oregon,5,95988,0.00010
PA,Pennsylvania,8,44743,0.00020
RI,Rhode Island,1,1034,0.00100
SC,South Carolina,4,30061,0.00010
SD,South Dakota,3,75811,0.00000
TN,Tennessee,5,41235,0.00010
TX,Texas,24,261232,0.00010
UT,Utah,5,82170,0.00010
VA,Virginia,7,9217,0.00080
VT,Vermont,1,39490,0.00000
WA,Washington,4,66456,0.00010
WI,Wisconsin,8,24038,0.00030
WV,West Virginia,1,54158,0.00000
WY,Wyoming,6,97093,0.00010
